task,metric,value,n,dim,ops,iters,pretrain_steps,data
anomaly,calibrated_closure,0.025513,32,48,8,6,150,synthetic
anomaly,instability,0.018860,32,48,8,6,150,synthetic
anomaly,recovery,0.019470,32,48,8,6,150,synthetic
anomaly,embedding_dist,0.375488,32,48,8,6,150,synthetic
anomaly,raw_summary_dist,0.824809,32,48,8,6,150,synthetic
anomaly,random,0.475728,32,48,8,6,150,synthetic
anomaly,calibrated_closure_high,0.023987,32,48,8,6,150,synthetic
anomaly,calibrated_closure_low,0.976013,32,48,8,6,150,synthetic
anomaly,calibrated_closure_best,0.976013,32,48,8,6,150,synthetic
anomaly,instability_high,0.018860,32,48,8,6,150,synthetic
anomaly,instability_low,0.981140,32,48,8,6,150,synthetic
anomaly,instability_best,0.981140,32,48,8,6,150,synthetic
anomaly,recovery_high,0.018880,32,48,8,6,150,synthetic
anomaly,recovery_low,0.981120,32,48,8,6,150,synthetic
anomaly,recovery_best,0.981120,32,48,8,6,150,synthetic
anomaly,contract_high,0.480632,32,48,8,6,150,synthetic
anomaly,contract_low,0.519368,32,48,8,6,150,synthetic
anomaly,contract_best,0.519368,32,48,8,6,150,synthetic
anomaly,h_contract_high,0.470296,32,48,8,6,150,synthetic
anomaly,h_contract_low,0.529704,32,48,8,6,150,synthetic
anomaly,h_contract_best,0.529704,32,48,8,6,150,synthetic
anomaly,far_keep_high,0.497437,32,48,8,6,150,synthetic
anomaly,far_keep_low,0.502563,32,48,8,6,150,synthetic
anomaly,far_keep_best,0.502563,32,48,8,6,150,synthetic
anomaly,move_high,0.749512,32,48,8,6,150,synthetic
anomaly,move_low,0.250488,32,48,8,6,150,synthetic
anomaly,move_best,0.749512,32,48,8,6,150,synthetic
anomaly,state_var_high,0.464691,32,48,8,6,150,synthetic
anomaly,state_var_low,0.535309,32,48,8,6,150,synthetic
anomaly,state_var_best,0.535309,32,48,8,6,150,synthetic
anomaly,embedding_dist_high,0.375488,32,48,8,6,150,synthetic
anomaly,embedding_dist_low,0.624512,32,48,8,6,150,synthetic
anomaly,embedding_dist_best,0.624512,32,48,8,6,150,synthetic
anomaly,raw_summary_dist_high,0.824809,32,48,8,6,150,synthetic
